"id_pago";"fecha_pago";"matricula_num";"id_alumno"
1;"2025-08-22 00:17:30";744833.0;9
2;"2025-04-26 10:28:05";2911736.0;9215
3;"2023-12-04 07:27:57";2270781.0;939
4;"2024-02-22 23:18:50";1402018.0;10732
5;"2024-08-27 14:21:37";2486360.0;9062
6;"2025-01-29 21:09:29";825609.0;12422
7;"2023-11-10 15:18:24";2777265.0;12896
8;"2024-03-22 08:31:40";2383171.0;1239
9;"2024-12-24 13:49:23";279749.0;1841
10;"2025-05-22 22:25:00";1641761.0;14528
11;"2024-11-09 08:28:34";1581105.0;14224
12;"2024-06-17 07:52:12";1403376.0;8406
13;"2025-04-07 02:08:20";1149428.0;447
14;"2024-02-24 06:25:11";613639.0;4571
15;"2024-02-21 18:46:37";2457325.0;8555
16;"2023-11-23 05:24:10";488802.0;6142
17;"2024-11-30 07:31:31";2446587.0;1132
18;"2025-01-05 00:28:47";770886.0;4738
19;"2024-12-24 10:35:55";1158120.0;4605
20;"2025-02-07 07:03:35";1966309.0;2017
21;"2025-07-08 07:51:05";260905.0;11177
22;"2024-07-25 00:44:32";1371680.0;6615
23;"2025-08-13 13:56:45";2146332.0;4315
24;"2025-05-28 05:31:15";2197235.0;3641
25;"2024-02-18 22:41:47";2442204.0;15982
26;"2025-07-07 14:36:48";2012215.0;6939
27;"2024-03-16 06:25:24";555048.0;7684
28;"2024-11-22 17:21:24";1017247.0;8687
29;"2023-10-11 22:10:12";2454034.0;10452
30;"2023-09-25 19:38:48";2376010.0;7454
31;"2025-04-27 10:29:50";206545.0;2974
32;"2025-04-22 04:34:13";856580.0;10648
33;"2024-02-21 00:18:33";1901263.0;15155
34;"2025-05-13 00:15:01";2077542.0;933
35;"2024-04-06 04:50:26";1065729.0;12770
36;"2025-04-13 11:20:02";311169.0;7333
37;"2024-09-18 12:57:26";845646.0;15533
38;"2025-01-02 03:38:51";1523627.0;14831
39;"2025-02-04 19:54:38";2001331.0;13251
40;"2025-01-27 10:45:36";1333854.0;6570
41;"2023-11-15 15:47:34";827133.0;5678
42;"2024-12-18 08:49:04";403294.0;12150
43;"2025-02-09 19:52:41";2329721.0;1784
44;"2023-10-01 12:16:41";1401568.0;1011
45;"2024-08-20 10:44:25";316563.0;15381
46;"2025-05-23 01:45:38";1748490.0;9032
47;"2025-01-27 18:44:45";1173899.0;8923
48;"2024-06-23 03:16:52";2105716.0;15879
49;"2023-12-06 19:44:45";229344.0;9128
50;"2024-10-17 22:44:49";1385929.0;14167
51;"2023-10-05 10:28:59";1337167.0;14445
52;"2024-03-12 07:33:42";2276261.0;2775
53;"2023-12-02 03:12:41";882490.0;8806
54;"2024-02-15 15:19:26";898857.0;3743
55;"2024-04-30 12:15:35";766959.0;14988
56;"2024-12-11 02:39:43";705095.0;13727
57;"2025-03-15 08:24:16";1847272.0;3326
58;"2023-09-26 09:08:22";2382835.0;9734
59;"2025-03-04 05:24:23";1564497.0;7138
60;"2024-06-02 04:32:53";2462199.0;7756
61;"2024-02-04 23:58:13";230900.0;556
62;"2024-08-13 00:19:17";109549.0;540
63;"2024-07-24 06:13:23";1982565.0;13525
64;"2024-07-10 13:53:03";103959.0;2680
65;"2025-08-14 03:59:27";1494423.0;15735
66;"2025-03-19 17:04:12";171987.0;85
67;"2024-02-02 13:57:40";2071933.0;10223
68;"2025-05-09 17:33:57";505269.0;7730
69;"2025-06-06 07:05:53";2602628.0;7263
70;"2025-05-05 04:59:41";1855287.0;14598
71;"2024-02-23 21:24:27";2281805.0;4517
72;"2023-12-26 09:14:46";965539.0;175
73;"2025-06-20 16:53:31";1638247.0;15463
74;"2024-05-30 09:49:16";913482.0;9350
75;"2024-11-29 11:53:23";2225864.0;11974
76;"2025-06-20 09:30:37";2722498.0;1214
77;"2024-08-05 01:34:21";2222859.0;5982
78;"2025-08-13 12:49:05";1584117.0;11228
79;"2024-01-17 22:38:53";2869939.0;5065
80;"2023-10-08 12:57:34";985876.0;9254
81;"2024-11-15 11:18:35";1353814.0;216
82;"2025-05-02 00:37:05";160461.0;14041
83;"2024-05-14 18:14:35";2886238.0;4888
84;"2024-11-03 11:44:07";1074956.0;7545
85;"2024-10-11 03:50:43";856353.0;12167
86;"2024-04-23 17:19:55";1225264.0;15665
87;"2024-11-09 14:33:27";1093522.0;8613
88;"2024-01-13 13:52:00";2992489.0;2319
89;"2023-12-12 08:49:17";2024111.0;8434
90;"2025-06-13 22:59:42";584111.0;5651
91;"2024-09-02 08:04:50";373102.0;917
92;"2024-09-05 15:28:02";2447252.0;765
93;"2025-08-19 20:19:17";2931696.0;11664
94;"2024-10-25 19:06:01";2665272.0;4867
95;"2024-03-02 09:17:09";338073.0;3345
96;"2024-07-01 20:23:37";2386475.0;1199
97;"2024-07-21 16:22:31";2044090.0;7242
98;"2024-09-11 19:34:53";2041377.0;6024
99;"2024-12-23 19:04:56";2104115.0;8868
100;"2023-12-10 06:18:40";2928067.0;4525
101;"2023-11-04 13:35:29";1813091.0;3113
102;"2025-04-26 09:46:56";2836572.0;3485
103;"2025-02-20 07:05:14";973332.0;2706
104;"2025-02-16 03:23:59";317469.0;8884
105;"2025-08-18 11:24:53";1017200.0;1203
106;"2024-09-03 18:30:34";2768772.0;724
107;"2024-10-09 00:44:15";2286616.0;7000
108;"2024-05-16 23:56:44";2114051.0;5150
109;"2025-08-09 17:49:02";2641137.0;8234
110;"2025-04-12 07:57:47";1191738.0;13431
111;"2025-01-04 02:05:54";1464969.0;8416
112;"2025-04-08 17:20:46";2619611.0;10434
113;"2025-08-17 14:42:00";736567.0;489
114;"2024-12-23 05:55:11";673126.0;229
115;"2024-09-18 23:22:25";560512.0;12346
116;"2024-05-27 18:09:16";755927.0;1884
117;"2025-05-01 10:57:54";2450526.0;8181
118;"2025-07-10 06:40:23";1913492.0;160
119;"2025-08-25 08:42:15";1525324.0;10969
120;"2024-11-14 06:57:49";620767.0;2490
121;"2025-06-25 21:11:32";2402850.0;13564
122;"2023-11-25 01:29:16";379171.0;1107
123;"2024-01-19 01:07:25";742950.0;9515
124;"2025-05-01 20:52:28";1763723.0;6984
125;"2025-07-13 17:37:55";132603.0;12038
126;"2024-06-14 06:45:18";1297038.0;11409
127;"2025-05-13 06:09:05";2286936.0;1453
128;"2025-03-09 00:33:07";2581815.0;8073
129;"2024-04-26 18:42:46";1840676.0;15072
130;"2024-06-28 10:01:50";2329588.0;12084
131;"2024-12-07 07:22:29";353803.0;10358
132;"2025-06-11 06:26:23";2600086.0;1928
133;"2025-01-11 04:03:31";1590873.0;5054
134;"2024-11-11 13:01:49";1117715.0;9259
135;"2024-11-14 13:21:01";1641015.0;12026
136;"2023-10-12 03:03:01";2860328.0;8807
137;"2025-01-20 14:34:00";673570.0;6564
138;"2023-11-04 01:43:41";1255437.0;12457
139;"2025-06-26 04:46:38";1491463.0;13869
140;"2025-04-14 17:31:32";1796938.0;1459
141;"2024-10-15 13:00:26";129451.0;13983
142;"2024-06-02 19:35:26";335953.0;11939
143;"2024-12-19 06:26:47";1747969.0;8002
144;"2023-12-19 20:13:02";1934606.0;6755
145;"2024-03-08 21:46:48";2224023.0;7137
146;"2024-10-14 23:12:32";2307738.0;5580
147;"2024-08-12 05:55:04";188675.0;9881
148;"2025-08-02 05:10:30";1256373.0;15792
149;"2024-07-29 22:27:33";680471.0;9334
150;"2024-05-31 08:13:31";2409595.0;7603
151;"2024-09-19 02:42:23";1916624.0;15600
152;"2025-08-30 15:48:50";529239.0;8249
153;"2024-11-17 06:48:45";2034665.0;6220
154;"2024-07-05 02:43:24";195431.0;7272
155;"2024-09-05 08:38:54";1498456.0;377
156;"2025-07-27 14:34:59";2202198.0;4784
157;"2024-04-09 07:23:57";606184.0;3789
158;"2025-06-01 12:36:02";351039.0;11302
159;"2024-06-10 10:35:10";711571.0;12619
160;"2023-09-26 07:08:52";1187100.0;13994
161;"2024-06-25 01:19:11";2151599.0;6000
162;"2023-09-25 20:00:43";2258573.0;135
163;"2024-05-21 17:19:41";2615469.0;4156
164;"2024-10-30 18:15:06";209090.0;835
165;"2024-10-09 11:29:53";257459.0;12737
166;"2024-06-03 12:50:18";1248957.0;3928
167;"2024-06-16 13:00:06";589911.0;5956
168;"2024-05-03 06:14:46";2715313.0;11317
169;"2024-02-14 12:12:25";2775476.0;8442
170;"2025-06-18 14:06:33";219263.0;14594
171;"2025-08-10 15:56:25";342201.0;10118
172;"2023-12-08 18:33:04";650940.0;4388
173;"2025-03-31 18:48:14";1530999.0;13718
174;"2024-06-24 23:34:39";1143788.0;11804
175;"2024-04-18 08:55:40";2170371.0;13386
176;"2025-05-06 05:47:05";1817093.0;4100
177;"2024-04-26 06:14:26";1288864.0;11861
178;"2024-10-15 13:09:34";735392.0;5021
179;"2024-04-21 15:08:24";2505987.0;3453
180;"2025-01-07 15:57:19";2594444.0;2672
181;"2023-10-31 09:13:23";304191.0;10889
182;"2024-09-28 00:09:27";741707.0;9864
183;"2024-02-24 00:13:36";2748845.0;9263
184;"2025-06-28 13:00:31";2868735.0;964
185;"2024-09-04 20:09:25";931789.0;14056
186;"2025-04-14 10:55:33";264355.0;1383
187;"2023-11-27 16:22:23";1706086.0;10413
188;"2023-12-16 23:05:47";2003660.0;5406
189;"2025-09-06 23:36:32";378988.0;5312
190;"2025-09-01 17:32:45";818038.0;11906
191;"2023-12-08 11:33:56";2401179.0;13055
192;"2024-06-15 01:46:36";2121810.0;2165
193;"2024-06-24 13:45:35";780248.0;7004
194;"2024-09-23 15:09:14";608262.0;314
195;"2024-12-28 12:15:30";1939835.0;8178
196;"2024-11-10 10:52:48";2482952.0;1234
197;"2024-04-19 13:52:01";1057726.0;2178
198;"2025-02-25 14:40:21";2549211.0;8835
199;"2024-03-11 14:16:58";849068.0;4976
200;"2024-11-11 06:10:19";114299.0;10814
201;"2024-05-24 07:29:02";410361.0;7141
202;"2025-02-23 04:56:40";2225108.0;3932
203;"2025-05-14 07:16:59";584650.0;4872
204;"2024-06-15 02:48:27";2792119.0;11615
205;"2025-03-10 23:12:27";2814465.0;6021
206;"2023-11-09 11:02:19";594001.0;1664
207;"2024-04-01 22:49:28";1197997.0;7027
208;"2024-08-25 15:38:09";231351.0;12097
209;"2025-09-08 18:43:25";1250883.0;3185
210;"2024-01-06 05:21:33";1387852.0;12388
211;"2023-11-05 01:59:48";1339949.0;7459
212;"2024-08-14 11:34:05";993997.0;3634
213;"2023-11-12 14:02:11";601025.0;7403
